Current Evaluation Model of Likelihood to Leave,EmployeeLeft,Hired through SMTP,Marked for PHT Program,Recruiting Location Code,Salary,"Survey, Relative, Attitude toward Environment","Survey, Relative, Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Work/Life Balance",University
41.5,1.0,1,1,63997,65896.08,3,6,6,3,Enugu State University of Science and Technology
39.2,1.0,1,1,81996,52137.03,5,4,3,3,Enugu State University of Science and Technology
31.5,0.0,1,1,63997,49477.33,5,4,2,3,Nazarene Bible College
34.0,0.0,0,1,81996,43175.87,5,3,1,2,COMSATS Institute of Information Technology
49.4,0.0,1,0,45998,42732.73,5,8,4,1,Université de Corse Pascal Paoli
25.8,1.0,0,1,63997,69514.81,5,3,1,3,Université de Corse Pascal Paoli
24.0,0.0,1,1,63997,41925.71,5,2,3,1,NHTV Breda University of Professional Education
18.3,1.0,1,0,81996,49797.55,3,6,6,3,St. Norbert College
33.6,1.0,0,1,10000,47222.45,2,5,3,1,St. Norbert College
37.5,1.0,0,0,45998,48123.55,3,4,1,4,NHTV Breda University of Professional Education
29.6,1.0,1,0,81996,50057.64,5,2,7,3,St. Norbert College
31.4,0.0,1,1,10000,49229.93,3,8,2,2,COMSATS Institute of Information Technology
41.6,0.0,0,0,45998,51438.33,3,7,6,2,Enugu State University of Science and Technology
42.2,1.0,1,1,45998,62896.21,4,4,7,5,COMSATS Institute of Information Technology
41.4,1.0,1,0,45998,45460.21,5,3,2,4,COMSATS Institute of Information Technology
20.0,1.0,0,0,45998,44339.22,5,7,4,2,Enugu State University of Science and Technology
32.2,1.0,1,1,63997,50039.45,5,8,4,2,St. Norbert College
43.4,1.0,1,0,81996,42305.32,5,3,1,3,St. Norbert College
36.7,1.0,1,0,81996,59935.06,2,6,3,3,Enugu State University of Science and Technology
33.9,0.0,1,0,63997,48927.84,2,3,5,1,Nazarene Bible College
27.8,1.0,1,0,45998,50976.13,5,4,7,4,COMSATS Institute of Information Technology
39.9,0.0,0,0,27999,44993.38,3,8,1,2,St. Norbert College
57.9,0.0,1,1,81996,40862.73,5,1,2,3,NHTV Breda University of Professional Education
33.0,1.0,1,1,45998,45273.25,5,8,7,3,NHTV Breda University of Professional Education
33.1,1.0,1,0,27999,53621.21,2,4,1,4,Enugu State University of Science and Technology
25.2,1.0,1,1,81996,48172.22,3,3,1,4,St. Norbert College
47.7,0.0,1,0,45998,51359.49,5,7,2,1,NHTV Breda University of Professional Education
42.0,1.0,1,0,27999,49772.02,5,4,1,2,St. Norbert College
25.5,0.0,1,0,45998,47612.58,3,3,7,3,Nazarene Bible College
34.8,0.0,1,1,63997,50662.23,4,3,1,3,Nazarene Bible College
50.2,1.0,1,1,27999,54773.62,4,5,1,2,St. Norbert College
36.2,1.0,0,0,45998,48985.93,3,6,5,3,Enugu State University of Science and Technology
39.3,0.0,1,1,81996,49273.82,5,1,1,3,Université de Corse Pascal Paoli
46.7,0.0,0,1,63997,49915.8,2,4,4,1,St. Norbert College
36.7,0.0,0,1,81996,46045.58,4,3,2,2,St. Norbert College
25.2,1.0,0,0,10000,46109.0,3,2,2,4,St. Norbert College
40.4,1.0,0,0,10000,41234.89,5,5,2,4,NHTV Breda University of Professional Education
34.7,1.0,0,0,81996,54331.31,3,4,1,2,St. Norbert College
25.7,0.0,1,0,63997,46270.66,5,4,5,1,Enugu State University of Science and Technology
34.8,1.0,0,0,27999,50618.04,5,2,1,4,St. Norbert College
48.6,1.0,1,1,81996,54787.76,5,3,2,3,Université de Corse Pascal Paoli
56.5,1.0,0,1,27999,48562.06,5,4,7,4,Université de Corse Pascal Paoli
35.4,0.0,1,1,81996,43158.33,2,4,1,4,Enugu State University of Science and Technology
26.4,0.0,1,0,45998,45275.81,2,4,1,3,St. Norbert College
28.6,0.0,0,1,27999,56325.64,5,2,1,1,COMSATS Institute of Information Technology
22.8,0.0,1,1,27999,43886.25,4,5,2,4,COMSATS Institute of Information Technology
23.3,0.0,1,0,45998,43920.04,4,5,2,1,St. Norbert College
40.1,0.0,1,0,45998,47260.05,4,4,1,1,Enugu State University of Science and Technology
43.8,0.0,1,0,81996,56402.86,2,5,1,1,COMSATS Institute of Information Technology
34.4,0.0,1,0,10000,45809.63,3,1,6,2,St. Norbert College
24.2,1.0,0,0,63997,43928.34,5,8,1,4,St. Norbert College
35.0,0.0,0,1,10000,46172.9,3,3,1,2,COMSATS Institute of Information Technology
48.6,1.0,0,1,10000,41957.24,5,2,1,3,NHTV Breda University of Professional Education
32.9,0.0,0,1,63997,40159.95,2,3,2,5,Enugu State University of Science and Technology
38.1,1.0,1,0,81996,41366.63,5,5,4,3,NHTV Breda University of Professional Education
37.4,0.0,0,1,27999,49122.39,3,8,3,4,Université de Corse Pascal Paoli
36.2,0.0,1,1,27999,44631.34,3,8,1,2,NHTV Breda University of Professional Education
42.1,0.0,0,1,27999,49274.5,3,2,4,2,St. Norbert College
50.8,1.0,0,0,63997,56594.22,4,4,2,3,Enugu State University of Science and Technology
33.4,0.0,0,1,63997,46421.37,5,5,4,2,Enugu State University of Science and Technology
43.6,1.0,0,0,63997,62585.54,2,3,1,3,St. Norbert College
34.6,1.0,1,1,81996,49327.16,3,6,1,5,St. Norbert College
35.2,0.0,1,1,81996,47205.14,5,8,1,2,Enugu State University of Science and Technology
42.5,0.0,0,0,45998,48713.98,3,1,3,1,St. Norbert College
62.9,0.0,0,0,81996,47211.12,3,5,7,2,Enugu State University of Science and Technology
38.5,1.0,0,0,27999,66656.09,2,4,1,5,Enugu State University of Science and Technology
30.9,0.0,0,1,63997,41872.81,1,8,1,3,St. Norbert College
37.0,0.0,1,0,10000,48489.89,2,4,1,2,Enugu State University of Science and Technology
41.0,1.0,0,0,27999,49424.81,5,5,1,2,Enugu State University of Science and Technology
48.0,0.0,0,0,63997,46368.88,3,4,1,3,NHTV Breda University of Professional Education
24.9,0.0,0,0,81996,56584.55,3,3,1,3,Nazarene Bible College
40.5,1.0,1,0,10000,45545.49,5,2,3,4,Université de Corse Pascal Paoli
42.8,1.0,0,0,10000,49011.52,5,8,1,3,Enugu State University of Science and Technology
34.3,1.0,1,0,27999,54401.72,3,2,2,3,Nazarene Bible College
46.0,0.0,1,0,81996,47031.84,3,7,1,2,St. Norbert College
47.3,0.0,0,1,27999,42949.55,1,1,3,4,COMSATS Institute of Information Technology
27.4,0.0,1,1,27999,46987.8,4,4,1,2,St. Norbert College
37.4,1.0,0,1,63997,59287.05,2,3,1,4,Enugu State University of Science and Technology
34.0,0.0,1,0,27999,46510.87,5,1,3,2,Nazarene Bible College
30.4,1.0,0,0,45998,51054.11,4,1,1,3,COMSATS Institute of Information Technology
38.5,0.0,0,1,45998,56540.3,3,6,4,1,St. Norbert College
44.2,0.0,1,0,27999,50822.84,5,6,1,2,Université de Corse Pascal Paoli
30.6,0.0,1,1,63997,46464.85,2,1,1,1,Nazarene Bible College
43.0,0.0,1,0,27999,42892.92,5,1,5,1,St. Norbert College
37.7,1.0,1,1,63997,52429.52,5,3,1,2,Enugu State University of Science and Technology
34.6,1.0,1,0,81996,61387.19,5,1,2,1,St. Norbert College
26.0,1.0,1,1,63997,54964.67,5,6,1,2,St. Norbert College
58.5,1.0,0,0,45998,45169.55,3,8,4,5,Université de Corse Pascal Paoli
53.2,1.0,1,1,81996,52368.98,5,4,2,4,Enugu State University of Science and Technology
44.3,1.0,0,0,63997,57904.71,2,7,4,3,Enugu State University of Science and Technology
42.6,0.0,0,0,27999,45267.71,4,4,3,1,Université de Corse Pascal Paoli
44.5,0.0,1,0,27999,47084.59,5,5,5,2,COMSATS Institute of Information Technology
50.3,0.0,1,1,81996,43304.4,2,4,7,2,St. Norbert College
37.8,1.0,0,0,81996,46740.28,5,2,7,2,St. Norbert College
27.9,1.0,0,1,81996,55434.22,5,3,3,5,St. Norbert College
46.6,1.0,0,1,81996,49633.95,2,6,1,4,St. Norbert College
33.0,1.0,1,1,81996,43043.93,5,5,4,4,St. Norbert College
44.3,0.0,1,0,63997,41260.67,5,8,1,1,Enugu State University of Science and Technology
34.6,0.0,1,0,45998,45938.96,2,5,4,1,Enugu State University of Science and Technology
35.4,0.0,1,0,45998,49029.6,5,8,1,1,NHTV Breda University of Professional Education
38.9,1.0,1,0,63997,68190.15,1,2,1,5,NHTV Breda University of Professional Education
24.1,1.0,1,1,10000,42432.84,5,1,1,4,St. Norbert College
46.8,1.0,0,0,81996,56972.32,5,1,1,3,St. Norbert College
29.1,1.0,0,1,81996,62781.04,2,7,4,3,St. Norbert College
42.3,0.0,0,1,81996,51983.75,1,8,1,2,Enugu State University of Science and Technology
32.2,1.0,1,0,81996,52796.22,5,7,1,4,Enugu State University of Science and Technology
30.5,0.0,1,0,27999,46716.0,5,6,3,1,Enugu State University of Science and Technology
47.1,0.0,1,0,63997,41351.53,3,6,1,2,St. Norbert College
29.0,0.0,1,1,10000,51566.51,4,3,2,1,Université de Corse Pascal Paoli
38.8,1.0,0,1,27999,45580.4,5,1,1,3,NHTV Breda University of Professional Education
40.6,0.0,0,0,63997,54252.96,5,7,1,1,Université de Corse Pascal Paoli
25.3,0.0,1,0,45998,44190.73,5,3,1,1,COMSATS Institute of Information Technology
34.9,0.0,0,0,81996,44912.38,5,4,3,1,Nazarene Bible College
30.8,1.0,0,1,63997,51976.73,5,3,7,3,Nazarene Bible College
28.6,0.0,1,0,27999,43463.53,5,2,5,1,Enugu State University of Science and Technology
55.2,1.0,0,0,45998,49616.17,5,1,3,2,COMSATS Institute of Information Technology
44.1,0.0,1,0,81996,42206.09,2,4,2,2,Enugu State University of Science and Technology
33.6,1.0,0,0,81996,46451.62,5,6,3,3,COMSATS Institute of Information Technology
59.2,1.0,1,1,27999,47565.49,5,4,1,2,Enugu State University of Science and Technology
25.9,1.0,0,1,45998,50050.85,4,6,2,3,Enugu State University of Science and Technology
32.3,0.0,1,0,81996,50460.43,3,4,4,1,St. Norbert College
30.3,1.0,0,0,81996,61284.15,4,8,1,3,Nazarene Bible College
40.6,1.0,1,1,63997,46943.16,3,5,1,1,St. Norbert College
32.3,0.0,1,0,27999,56879.0,2,4,1,1,St. Norbert College
33.0,1.0,0,0,45998,44832.79,3,3,1,4,Enugu State University of Science and Technology
18.8,0.0,0,1,10000,48629.35,5,1,4,1,NHTV Breda University of Professional Education
40.3,1.0,1,1,45998,57458.06,5,3,1,2,NHTV Breda University of Professional Education
43.5,1.0,1,0,27999,47901.73,4,6,1,4,St. Norbert College
41.2,0.0,1,1,63997,45941.88,1,6,2,4,Enugu State University of Science and Technology
74.3,1.0,1,1,81996,49604.98,4,2,3,2,St. Norbert College
42.6,0.0,1,0,27999,44492.6,2,5,3,4,NHTV Breda University of Professional Education
36.3,0.0,1,0,10000,52383.49,3,5,1,3,Nazarene Bible College
33.3,1.0,0,1,10000,53178.19,4,7,1,2,Enugu State University of Science and Technology
41.5,1.0,0,1,45998,61320.07,3,4,2,2,Enugu State University of Science and Technology
45.8,1.0,0,1,27999,51425.67,5,2,2,3,COMSATS Institute of Information Technology
31.8,0.0,1,0,45998,52733.71,3,6,2,2,COMSATS Institute of Information Technology
37.7,0.0,1,0,27999,43628.02,4,1,2,2,NHTV Breda University of Professional Education
16.1,0.0,1,1,45998,56042.6,3,6,5,2,St. Norbert College
22.1,0.0,1,1,45998,50478.63,5,5,1,1,St. Norbert College
42.3,0.0,0,1,81996,44404.84,4,4,1,2,St. Norbert College
44.9,0.0,1,1,81996,53220.91,5,7,1,1,COMSATS Institute of Information Technology
36.4,0.0,0,1,27999,53493.11,3,3,6,1,St. Norbert College
48.5,1.0,0,1,27999,49380.83,5,5,2,3,St. Norbert College
31.9,0.0,1,1,63997,49848.55,3,3,3,3,Université de Corse Pascal Paoli
14.7,1.0,0,1,81996,86147.42,4,3,3,2,St. Norbert College
31.6,0.0,0,1,81996,55851.79,4,6,1,1,St. Norbert College
34.8,0.0,0,0,81996,41631.89,2,4,2,2,NHTV Breda University of Professional Education
9.9,0.0,1,0,45998,41718.37,2,4,3,2,St. Norbert College
34.3,0.0,1,1,81996,48323.76,2,6,1,4,Enugu State University of Science and Technology
41.2,0.0,1,0,63997,45772.41,5,1,2,1,Enugu State University of Science and Technology
40.1,0.0,1,1,63997,54592.86,5,3,2,2,Université de Corse Pascal Paoli
41.3,0.0,0,1,81996,43940.81,5,7,4,2,NHTV Breda University of Professional Education
40.5,1.0,1,0,27999,46131.11,5,2,2,4,St. Norbert College
41.9,1.0,0,0,10000,68436.18,4,1,3,1,St. Norbert College
20.4,0.0,1,0,45998,45623.79,3,4,2,1,Université de Corse Pascal Paoli
43.0,0.0,1,0,27999,51334.83,2,1,3,2,St. Norbert College
49.0,1.0,0,1,81996,59306.69,3,4,4,3,COMSATS Institute of Information Technology
24.8,1.0,1,1,81996,53267.91,5,6,1,2,St. Norbert College
42.3,0.0,1,1,10000,41636.13,4,4,4,1,St. Norbert College
32.0,0.0,1,1,10000,55393.1,5,2,4,4,St. Norbert College
41.1,0.0,1,0,27999,42533.22,4,4,1,1,St. Norbert College
41.0,0.0,1,0,45998,51596.7,5,3,4,1,COMSATS Institute of Information Technology
43.3,0.0,1,0,81996,46366.37,1,1,7,2,NHTV Breda University of Professional Education
55.6,1.0,0,1,27999,52971.88,5,4,1,3,Enugu State University of Science and Technology
27.6,1.0,1,1,63997,51716.14,5,3,3,3,St. Norbert College
19.2,0.0,0,1,10000,43554.06,3,4,7,1,St. Norbert College
34.4,1.0,1,1,81996,53193.65,2,3,3,2,Enugu State University of Science and Technology
45.4,0.0,1,1,45998,48353.78,5,3,4,1,Université de Corse Pascal Paoli
41.4,0.0,1,0,27999,46306.08,5,4,5,1,NHTV Breda University of Professional Education
18.4,0.0,0,0,45998,50472.6,5,1,1,1,Université de Corse Pascal Paoli
38.9,0.0,0,0,45998,44230.01,4,6,2,2,Enugu State University of Science and Technology
31.0,0.0,1,1,45998,53291.32,2,5,3,1,Enugu State University of Science and Technology
35.8,1.0,1,1,45998,50077.02,3,3,4,4,Enugu State University of Science and Technology
44.5,0.0,1,1,45998,50187.73,4,5,2,1,St. Norbert College
46.2,0.0,0,1,27999,46112.91,5,3,1,1,NHTV Breda University of Professional Education
2.2,0.0,0,1,10000,47304.17,4,3,5,2,NHTV Breda University of Professional Education
50.7,0.0,1,1,10000,45295.13,5,3,7,1,COMSATS Institute of Information Technology
50.0,1.0,0,0,81996,42850.23,5,2,1,3,Enugu State University of Science and Technology
35.1,1.0,1,0,81996,47461.87,5,7,3,1,St. Norbert College
52.0,0.0,1,0,81996,58175.87,2,2,7,1,Université de Corse Pascal Paoli
58.6,1.0,0,0,81996,53093.46,5,2,1,4,St. Norbert College
33.6,0.0,1,0,45998,43861.31,5,3,2,3,COMSATS Institute of Information Technology
44.7,0.0,0,0,81996,63371.68,3,2,1,1,Université de Corse Pascal Paoli
22.4,0.0,1,1,27999,49823.69,2,2,1,2,St. Norbert College
42.9,0.0,1,0,81996,44871.71,3,8,1,2,St. Norbert College
46.0,1.0,1,0,63997,48223.77,2,1,2,4,St. Norbert College
60.1,0.0,1,0,10000,42488.22,3,2,4,3,St. Norbert College
13.4,1.0,0,1,45998,48501.03,3,3,1,5,COMSATS Institute of Information Technology
53.3,1.0,0,0,63997,42957.51,1,2,5,5,St. Norbert College
56.8,1.0,0,0,63997,43864.06,5,1,1,2,St. Norbert College
43.2,0.0,0,1,27999,42504.24,5,5,2,2,St. Norbert College
54.4,1.0,0,0,45998,54596.65,3,8,6,4,NHTV Breda University of Professional Education
24.9,0.0,0,1,27999,45429.66,2,1,1,1,Enugu State University of Science and Technology
39.9,1.0,1,0,81996,46390.49,5,3,1,4,St. Norbert College
23.9,0.0,1,1,45998,47155.82,3,5,1,1,COMSATS Institute of Information Technology
48.4,0.0,0,1,27999,46929.59,5,2,1,2,Université de Corse Pascal Paoli
45.1,0.0,0,0,63997,61388.91,4,4,1,1,Université de Corse Pascal Paoli
38.8,1.0,0,1,45998,55481.99,4,2,1,5,NHTV Breda University of Professional Education
27.4,1.0,0,1,63997,65486.71,3,3,1,5,COMSATS Institute of Information Technology
34.0,0.0,1,1,63997,41844.85,5,4,2,1,NHTV Breda University of Professional Education
63.2,0.0,0,1,45998,44114.52,4,1,2,2,Université de Corse Pascal Paoli
53.3,0.0,1,0,81996,49306.47,2,1,2,2,Enugu State University of Science and Technology
40.6,1.0,0,1,81996,42451.68,3,5,1,1,NHTV Breda University of Professional Education
34.8,1.0,0,0,10000,53333.51,2,1,1,4,St. Norbert College
30.1,1.0,1,0,81996,49084.77,5,2,6,1,St. Norbert College
37.8,1.0,1,0,45998,48584.37,4,3,3,3,St. Norbert College
35.1,0.0,0,1,81996,50416.71,2,3,2,4,Enugu State University of Science and Technology
34.9,0.0,1,1,45998,56424.76,5,7,3,1,NHTV Breda University of Professional Education
57.1,0.0,1,0,27999,52620.1,3,4,1,4,NHTV Breda University of Professional Education
34.0,1.0,1,1,27999,47282.26,5,4,2,2,St. Norbert College
46.3,0.0,1,0,63997,51496.38,4,2,3,1,Nazarene Bible College
30.4,0.0,1,0,45998,51643.49,2,3,6,2,Enugu State University of Science and Technology
30.0,0.0,0,1,10000,42863.14,3,4,1,4,Nazarene Bible College
39.4,0.0,0,1,81996,53441.64,1,6,1,3,St. Norbert College
16.4,0.0,0,0,27999,45720.27,4,6,1,2,Enugu State University of Science and Technology
44.2,0.0,1,1,45998,43519.17,4,6,1,3,St. Norbert College
40.3,1.0,0,1,45998,51062.07,5,6,5,5,NHTV Breda University of Professional Education
27.4,0.0,1,0,81996,50551.59,4,7,2,2,NHTV Breda University of Professional Education
20.8,0.0,1,1,63997,42522.14,5,6,1,2,Nazarene Bible College
43.1,1.0,1,0,27999,52093.96,5,4,3,1,St. Norbert College
25.0,0.0,1,1,45998,46259.9,5,4,1,1,St. Norbert College
40.3,1.0,0,1,10000,46481.09,5,4,2,2,Université de Corse Pascal Paoli
38.9,0.0,1,1,63997,42795.2,3,8,4,3,Enugu State University of Science and Technology
37.2,0.0,0,1,63997,42823.22,3,7,4,3,NHTV Breda University of Professional Education
24.1,0.0,0,1,27999,49465.57,5,3,7,1,Enugu State University of Science and Technology
12.9,0.0,0,0,27999,47667.75,2,5,7,3,Enugu State University of Science and Technology
36.1,1.0,0,0,81996,45615.92,5,3,4,1,St. Norbert College
3.7,1.0,1,1,81996,46140.04,4,1,2,4,St. Norbert College
23.5,1.0,0,1,63997,59552.86,4,4,4,3,St. Norbert College
38.2,1.0,0,0,81996,47103.56,5,3,1,3,St. Norbert College
49.7,1.0,1,0,81996,51139.69,3,5,1,5,Nazarene Bible College
39.4,0.0,1,0,63997,54114.13,3,4,4,1,St. Norbert College
36.8,1.0,0,0,81996,68521.21,5,2,3,2,Enugu State University of Science and Technology
37.9,0.0,0,0,63997,45004.52,3,5,1,2,Enugu State University of Science and Technology
36.7,0.0,1,1,45998,50621.02,5,1,2,2,Université de Corse Pascal Paoli
49.0,0.0,1,1,45998,61129.8,2,6,1,2,St. Norbert College
46.6,0.0,0,0,27999,40756.73,3,3,1,1,St. Norbert College
39.9,0.0,0,1,81996,48776.66,3,4,1,5,NHTV Breda University of Professional Education
45.4,0.0,0,1,81996,45799.26,2,3,3,2,St. Norbert College
52.9,0.0,1,1,63997,43499.46,4,5,2,1,St. Norbert College
45.1,0.0,1,0,27999,43273.68,5,6,2,1,NHTV Breda University of Professional Education
34.9,1.0,0,0,27999,48644.02,4,4,1,5,St. Norbert College
39.9,0.0,0,0,63997,43857.57,2,2,3,4,NHTV Breda University of Professional Education
38.9,0.0,0,0,63997,45372.59,2,3,1,1,Enugu State University of Science and Technology
29.9,1.0,0,0,81996,49049.39,5,8,1,4,St. Norbert College
24.6,1.0,1,1,63997,63496.17,2,4,6,4,St. Norbert College
35.8,0.0,1,0,27999,56440.08,2,1,6,2,NHTV Breda University of Professional Education
33.4,0.0,1,1,10000,44574.64,2,2,4,1,NHTV Breda University of Professional Education
31.9,1.0,1,1,27999,42480.65,2,3,1,2,Enugu State University of Science and Technology
18.5,1.0,0,0,81996,50398.94,5,3,2,3,NHTV Breda University of Professional Education
34.8,0.0,0,0,27999,55803.33,3,2,3,1,Enugu State University of Science and Technology
40.6,1.0,0,1,81996,57817.62,5,6,2,1,Enugu State University of Science and Technology
47.0,0.0,0,0,45998,41998.48,3,6,2,3,Enugu State University of Science and Technology
24.2,0.0,1,1,27999,59664.16,3,2,7,1,Nazarene Bible College
29.1,1.0,1,0,45998,49941.97,5,3,2,1,St. Norbert College
24.1,0.0,0,1,27999,48512.94,1,7,5,2,Enugu State University of Science and Technology
17.3,0.0,0,1,45998,44456.72,1,5,2,2,St. Norbert College
60.4,1.0,0,0,45998,50684.3,5,6,2,1,NHTV Breda University of Professional Education
30.8,0.0,1,1,81996,48242.39,3,4,2,2,Enugu State University of Science and Technology
25.7,0.0,1,1,27999,45334.1,4,4,2,1,NHTV Breda University of Professional Education
26.2,0.0,0,0,81996,47108.7,4,4,2,3,Université de Corse Pascal Paoli
34.6,0.0,1,0,45998,42445.1,2,5,1,4,NHTV Breda University of Professional Education
39.0,1.0,1,0,81996,48935.44,5,6,1,3,Enugu State University of Science and Technology
22.2,0.0,1,0,63997,48032.71,2,1,3,3,Nazarene Bible College
51.2,0.0,1,1,63997,45876.37,4,3,3,1,St. Norbert College
46.7,1.0,0,1,45998,63045.89,5,2,4,2,COMSATS Institute of Information Technology
36.1,0.0,0,0,63997,50604.5,2,3,1,1,COMSATS Institute of Information Technology
47.8,1.0,1,1,81996,45307.17,5,4,1,3,St. Norbert College
45.9,0.0,1,1,27999,55321.19,4,2,1,1,Enugu State University of Science and Technology
56.4,0.0,0,1,10000,48285.53,3,5,1,1,Université de Corse Pascal Paoli
39.2,0.0,0,0,27999,50912.08,2,3,4,1,Université de Corse Pascal Paoli
46.5,1.0,0,0,63997,53751.89,5,5,3,3,Université de Corse Pascal Paoli
46.1,0.0,0,0,27999,42495.02,5,3,1,1,Enugu State University of Science and Technology
50.1,1.0,0,0,63997,42540.53,4,5,3,4,NHTV Breda University of Professional Education
49.2,0.0,0,0,63997,49247.74,4,4,4,5,St. Norbert College
60.4,1.0,1,0,63997,50248.65,5,4,1,1,St. Norbert College
46.9,0.0,1,1,45998,42296.56,5,2,1,2,St. Norbert College
22.2,0.0,1,0,63997,42388.43,4,6,4,3,COMSATS Institute of Information Technology
40.2,1.0,1,1,10000,41409.25,5,3,2,3,St. Norbert College
