City,Email Domain,EmployeeLeft,Hired through SMTP,Manager Rating of Likelihood to leave,Marked for PHT Program,Most Recent Performance Evaluation,"Social Media Activity (Twitter, Facebook, Instagram)","Survey, Relative, Attitude toward WorkType","Survey, Relative, Attitude toward Workload","Survey, Relative, Peer's Average Attitude toward Manager"
Beaverlodge,cbslocal.com,0.0,0,1.0,0,53.0,3,2,3,2
Beaverlodge,youtu.be,0.0,1,1.0,0,50.0,0,2,5,2
Bandung,springer.com,1.0,1,1.0,0,51.0,3,6,1,2
Liancheng,cbslocal.com,1.0,1,1.0,1,52.0,0,1,1,3
Ell,cbslocal.com,0.0,1,1.0,0,48.0,2,1,1,1
Nuoxizhi,cbslocal.com,0.0,1,1.0,1,50.0,1,2,1,2
Ell,cbslocal.com,0.0,0,1.0,1,49.0,2,3,6,1
Nuoxizhi,youtu.be,0.0,0,1.0,0,49.0,1,2,5,1
Beaverlodge,youtu.be,1.0,0,38.0,0,48.0,0,1,7,2
Nuoxizhi,cbslocal.com,1.0,1,1.0,0,50.0,1,6,2,2
Nuoxizhi,upenn.edu,1.0,1,1.0,1,48.0,1,2,1,2
Nuoxizhi,cbslocal.com,0.0,1,1.0,0,48.0,1,2,5,1
Bandung,youtu.be,1.0,0,1.0,1,53.0,2,1,2,2
Ell,cbslocal.com,1.0,0,1.0,1,52.0,0,3,4,2
Beaverlodge,springer.com,1.0,1,1.0,1,49.0,3,2,1,1
Nuoxizhi,cbslocal.com,0.0,1,1.0,0,51.0,0,1,1,1
Bandung,springer.com,1.0,1,1.0,0,52.0,1,1,1,1
Kuala Terengganu,springer.com,1.0,1,1.0,1,52.0,2,3,1,2
Beaverlodge,cbslocal.com,1.0,1,24.0,0,53.0,0,5,1,2
Nuoxizhi,cbslocal.com,1.0,0,1.0,1,61.0,1,4,1,1
Bandung,cbslocal.com,1.0,0,1.0,1,54.0,0,1,5,5
Bandung,youtu.be,1.0,1,1.0,0,50.0,0,3,1,2
Kuala Terengganu,youtu.be,0.0,1,1.0,0,57.0,0,1,4,4
Beaverlodge,cbslocal.com,0.0,0,1.0,0,54.0,1,2,2,4
Beaverlodge,cbslocal.com,1.0,0,1.0,0,64.0,1,2,1,2
Beaverlodge,springer.com,0.0,1,1.0,0,49.0,1,2,4,1
Nuoxizhi,youtu.be,0.0,0,1.0,1,48.0,0,1,1,1
Liancheng,youtu.be,1.0,1,1.0,0,52.0,0,2,1,1
Bandung,springer.com,1.0,1,1.0,1,55.0,2,2,2,2
Ell,springer.com,1.0,1,1.0,0,49.0,2,5,1,2
Kuala Terengganu,exblog.jp,1.0,1,1.0,1,62.0,1,2,2,1
Liancheng,cbslocal.com,1.0,1,2.0,1,58.0,0,1,1,2
Bandung,cbslocal.com,0.0,1,1.0,0,50.0,1,1,5,1
Bandung,youtu.be,1.0,0,1.0,1,51.0,1,3,1,1
Bandung,exblog.jp,1.0,0,1.0,1,51.0,2,1,2,3
Beaverlodge,youtu.be,1.0,0,1.0,0,49.0,0,6,1,2
Liancheng,cbslocal.com,1.0,1,1.0,0,51.0,2,4,2,1
Nuoxizhi,cbslocal.com,1.0,1,13.0,0,51.0,0,1,1,2
Beaverlodge,exblog.jp,1.0,0,1.0,1,48.0,0,1,3,1
Ell,cbslocal.com,1.0,0,1.0,1,53.0,1,3,6,3
Nuoxizhi,cbslocal.com,1.0,0,1.0,0,48.0,1,4,2,3
Beaverlodge,cbslocal.com,0.0,0,1.0,1,49.0,0,1,2,3
Bandung,youtu.be,1.0,0,5.0,0,49.0,0,3,1,3
Nuoxizhi,youtu.be,1.0,1,2.0,0,51.0,1,2,1,1
Ell,springer.com,1.0,0,1.0,1,57.0,0,3,5,1
Kuala Terengganu,exblog.jp,0.0,0,1.0,0,54.0,0,2,4,2
Kuala Terengganu,youtu.be,0.0,1,1.0,1,52.0,2,4,3,4
Kuala Terengganu,springer.com,0.0,0,1.0,0,52.0,2,1,1,2
Liancheng,youtu.be,0.0,1,1.0,0,51.0,0,1,1,3
Nuoxizhi,youtu.be,0.0,0,1.0,0,49.0,1,1,2,1
Sandaohezi,springer.com,0.0,0,1.0,0,52.0,2,2,1,2
Ell,exblog.jp,0.0,1,1.0,1,49.0,2,2,2,2
Kuala Terengganu,youtu.be,0.0,1,1.0,0,52.0,0,4,2,3
Beaverlodge,cbslocal.com,1.0,0,1.0,1,49.0,1,2,4,1
Bandung,cbslocal.com,0.0,1,1.0,0,52.0,2,1,4,2
Liancheng,youtu.be,1.0,1,1.0,1,54.0,1,1,1,1
Bandung,cbslocal.com,1.0,1,1.0,1,48.0,3,3,4,1
Beaverlodge,youtu.be,1.0,1,1.0,1,50.0,1,1,5,2
Kuala Terengganu,youtu.be,0.0,0,1.0,1,65.0,2,3,5,3
Kuala Terengganu,youtu.be,1.0,0,2.0,1,59.0,0,6,2,1
Bandung,cbslocal.com,1.0,1,31.0,1,53.0,1,3,4,1
Ell,cbslocal.com,0.0,0,1.0,0,49.0,1,2,1,1
Beaverlodge,youtu.be,1.0,0,7.0,0,60.0,0,1,2,1
Nuoxizhi,springer.com,1.0,0,1.0,0,49.0,1,4,1,2
Beaverlodge,cbslocal.com,1.0,0,1.0,0,57.0,0,4,1,2
Ell,youtu.be,1.0,1,1.0,1,51.0,0,2,6,2
Bandung,upenn.edu,1.0,1,1.0,1,51.0,0,3,3,1
Ell,cbslocal.com,0.0,1,1.0,1,49.0,2,1,2,1
Nuoxizhi,springer.com,1.0,1,1.0,0,48.0,1,3,1,1
Ell,youtu.be,1.0,1,4.0,0,49.0,6,2,2,3
Nuoxizhi,cbslocal.com,0.0,0,1.0,0,52.0,0,1,5,4
Ell,springer.com,0.0,1,1.0,1,51.0,1,1,5,2
Beaverlodge,youtu.be,0.0,0,1.0,1,55.0,1,3,6,3
Kuala Terengganu,cbslocal.com,0.0,0,1.0,0,49.0,4,1,3,2
Nuoxizhi,cbslocal.com,1.0,0,2.0,1,52.0,0,1,2,2
Nuoxizhi,springer.com,1.0,0,1.0,0,53.0,1,4,2,1
Ell,youtu.be,0.0,1,1.0,1,48.0,0,1,3,3
Beaverlodge,cbslocal.com,0.0,1,1.0,0,52.0,1,1,1,1
Kuala Terengganu,springer.com,1.0,0,3.0,1,49.0,2,1,2,2
Liancheng,youtu.be,1.0,1,1.0,1,48.0,0,3,1,1
Nuoxizhi,youtu.be,1.0,0,1.0,0,48.0,3,2,2,3
Nuoxizhi,springer.com,0.0,1,1.0,0,53.0,0,1,5,1
Nuoxizhi,exblog.jp,0.0,0,1.0,0,49.0,0,1,5,2
Ell,youtu.be,1.0,0,1.0,1,51.0,0,6,2,1
Beaverlodge,cbslocal.com,0.0,1,1.0,0,49.0,1,1,3,1
Bandung,youtu.be,0.0,0,1.0,1,49.0,1,1,6,3
Beaverlodge,youtu.be,1.0,0,1.0,1,59.0,1,6,5,1
Ell,youtu.be,0.0,1,1.0,0,55.0,0,1,2,1
Nuoxizhi,youtu.be,0.0,0,1.0,1,70.0,2,2,3,3
Beaverlodge,cbslocal.com,0.0,0,1.0,0,51.0,1,1,1,3
Liancheng,youtu.be,1.0,1,15.0,1,50.0,1,1,1,1
Beaverlodge,exblog.jp,0.0,0,1.0,0,56.0,2,1,1,3
Nuoxizhi,cbslocal.com,0.0,0,1.0,1,50.0,1,2,5,2
Nuoxizhi,cbslocal.com,0.0,0,1.0,1,50.0,0,1,6,2
Bandung,youtu.be,1.0,1,1.0,1,56.0,1,2,1,1
Liancheng,youtu.be,1.0,0,1.0,1,69.0,0,1,2,2
Nuoxizhi,springer.com,1.0,1,1.0,0,57.0,1,2,2,1
Ell,cbslocal.com,0.0,1,1.0,1,69.0,2,2,2,4
Nuoxizhi,springer.com,0.0,1,1.0,1,50.0,0,2,1,3
Nuoxizhi,youtu.be,1.0,1,1.0,0,51.0,1,1,4,1
Ell,youtu.be,0.0,1,1.0,1,51.0,1,1,5,1
Liancheng,cbslocal.com,1.0,1,2.0,0,50.0,1,1,1,2
Bandung,youtu.be,0.0,0,1.0,0,57.0,1,2,7,3
Ell,youtu.be,1.0,0,1.0,1,54.0,0,6,2,1
Bandung,springer.com,1.0,0,1.0,1,48.0,0,3,1,2
Kuala Terengganu,exblog.jp,1.0,0,1.0,1,50.0,2,3,1,2
Nuoxizhi,youtu.be,0.0,1,1.0,0,61.0,0,1,1,4
Bandung,springer.com,1.0,1,2.0,0,53.0,2,5,2,1
Liancheng,youtu.be,0.0,0,1.0,1,56.0,0,1,3,3
Nuoxizhi,cbslocal.com,1.0,1,2.0,0,48.0,2,3,1,1
Bandung,cbslocal.com,1.0,0,1.0,0,48.0,1,1,1,2
Liancheng,springer.com,1.0,0,1.0,0,51.0,1,1,1,2
Ell,cbslocal.com,1.0,0,1.0,0,55.0,1,3,1,1
Bandung,cbslocal.com,0.0,1,1.0,0,49.0,0,1,1,3
Beaverlodge,cbslocal.com,1.0,0,3.0,1,62.0,0,1,2,2
Beaverlodge,cbslocal.com,1.0,1,1.0,1,51.0,0,2,4,1
Beaverlodge,cbslocal.com,0.0,1,1.0,1,54.0,0,2,1,3
Nuoxizhi,springer.com,1.0,1,1.0,0,51.0,0,1,2,2
Nuoxizhi,youtu.be,0.0,1,1.0,0,51.0,0,3,5,1
Nuoxizhi,cbslocal.com,0.0,0,1.0,0,52.0,0,1,1,1
Beaverlodge,cbslocal.com,1.0,0,2.0,1,52.0,0,1,5,2
Nuoxizhi,cbslocal.com,0.0,1,1.0,0,48.0,1,1,2,2
Nuoxizhi,youtu.be,0.0,0,1.0,0,49.0,2,3,1,4
Kuala Terengganu,cbslocal.com,0.0,1,1.0,1,51.0,0,1,7,1
Bandung,cbslocal.com,1.0,0,1.0,1,62.0,0,2,1,1
Bandung,cbslocal.com,1.0,1,1.0,0,52.0,1,5,2,2
Sandaohezi,youtu.be,0.0,1,1.0,1,53.0,0,4,3,1
Beaverlodge,cbslocal.com,1.0,0,1.0,0,52.0,0,2,2,2
Liancheng,youtu.be,0.0,0,1.0,0,49.0,0,1,1,3
Beaverlodge,youtu.be,0.0,1,1.0,0,52.0,1,2,1,2
Bandung,cbslocal.com,0.0,1,1.0,1,48.0,2,2,1,5
Bandung,springer.com,0.0,0,1.0,0,50.0,3,1,4,2
Kuala Terengganu,youtu.be,1.0,1,1.0,0,63.0,0,5,4,4
Beaverlodge,cbslocal.com,1.0,1,9.0,1,50.0,2,2,1,1
Kuala Terengganu,springer.com,0.0,0,1.0,0,53.0,1,1,2,2
Beaverlodge,exblog.jp,1.0,0,1.0,1,49.0,1,2,4,1
Bandung,cbslocal.com,1.0,1,1.0,0,51.0,2,2,2,2
Bandung,cbslocal.com,1.0,1,1.0,0,55.0,0,3,2,1
Bandung,springer.com,1.0,1,1.0,0,49.0,0,1,2,1
Beaverlodge,upenn.edu,1.0,0,1.0,1,52.0,1,1,4,1
Liancheng,cbslocal.com,0.0,0,1.0,0,49.0,0,1,2,4
Nuoxizhi,cbslocal.com,1.0,1,1.0,0,50.0,1,2,2,1
Nuoxizhi,youtu.be,1.0,0,1.0,1,59.0,2,6,3,2
Kuala Terengganu,cbslocal.com,1.0,0,1.0,1,49.0,2,6,4,3
Liancheng,cbslocal.com,1.0,0,1.0,0,59.0,3,1,1,1
Beaverlodge,cbslocal.com,1.0,0,2.0,0,49.0,0,2,3,2
Ell,youtu.be,1.0,0,1.0,1,49.0,0,1,1,1
Kuala Terengganu,springer.com,1.0,1,1.0,1,51.0,2,5,2,2
Nuoxizhi,youtu.be,0.0,1,1.0,1,56.0,0,1,2,3
Beaverlodge,youtu.be,1.0,1,1.0,1,49.0,0,1,2,2
Beaverlodge,springer.com,1.0,1,1.0,1,58.0,0,1,1,2
Nuoxizhi,youtu.be,0.0,1,1.0,1,67.0,1,1,2,4
Kuala Terengganu,cbslocal.com,0.0,0,1.0,1,56.0,0,3,7,2
Bandung,springer.com,1.0,1,1.0,1,52.0,0,1,2,1
Bandung,cbslocal.com,1.0,1,1.0,1,63.0,0,2,3,1
Nuoxizhi,cbslocal.com,0.0,0,1.0,1,52.0,0,3,2,3
Bandung,cbslocal.com,1.0,1,1.0,1,49.0,1,3,3,2
Liancheng,youtu.be,0.0,1,1.0,0,49.0,2,2,4,2
Nuoxizhi,youtu.be,1.0,0,2.0,1,49.0,0,1,2,2
Beaverlodge,cbslocal.com,1.0,1,48.0,0,61.0,1,2,5,1
Ell,cbslocal.com,1.0,0,1.0,0,49.0,1,1,6,5
Beaverlodge,springer.com,1.0,1,2.0,1,50.0,3,4,6,2
Bandung,youtu.be,1.0,1,1.0,0,53.0,2,2,2,2
Nuoxizhi,cbslocal.com,1.0,1,1.0,0,50.0,1,6,3,2
Kuala Terengganu,springer.com,1.0,1,1.0,0,56.0,1,6,1,1
Kuala Terengganu,youtu.be,1.0,0,1.0,1,52.0,2,1,1,3
Beaverlodge,exblog.jp,1.0,1,1.0,1,57.0,1,3,2,1
Beaverlodge,springer.com,0.0,1,1.0,1,52.0,0,1,3,2
Ell,upenn.edu,1.0,0,2.0,0,49.0,2,4,1,1
Liancheng,youtu.be,1.0,1,1.0,1,61.0,1,6,1,1
Bandung,springer.com,1.0,0,1.0,1,50.0,1,1,1,1
Nuoxizhi,youtu.be,1.0,0,1.0,1,49.0,2,2,4,4
Liancheng,youtu.be,1.0,0,1.0,0,53.0,1,2,2,2
Liancheng,cbslocal.com,0.0,1,1.0,1,53.0,0,1,2,2
Bandung,youtu.be,0.0,1,1.0,1,54.0,1,1,1,3
Kuala Terengganu,youtu.be,0.0,1,1.0,1,57.0,0,1,1,3
Beaverlodge,youtu.be,0.0,1,1.0,0,50.0,1,2,6,2
Beaverlodge,cbslocal.com,1.0,0,1.0,1,51.0,1,5,3,2
Bandung,springer.com,0.0,0,1.0,1,49.0,1,1,7,2
Beaverlodge,cbslocal.com,0.0,1,1.0,0,74.0,1,1,6,1
Ell,youtu.be,0.0,1,1.0,0,63.0,0,3,1,2
Ell,cbslocal.com,0.0,0,1.0,0,54.0,2,3,5,2
Nuoxizhi,cbslocal.com,0.0,1,1.0,1,49.0,1,5,4,1
Beaverlodge,youtu.be,0.0,0,1.0,0,53.0,1,1,1,3
Bandung,youtu.be,1.0,0,1.0,0,51.0,1,4,3,1
Liancheng,cbslocal.com,1.0,1,1.0,1,49.0,0,2,2,1
Bandung,cbslocal.com,1.0,1,1.0,1,66.0,0,3,2,2
Bandung,springer.com,1.0,1,1.0,1,49.0,0,4,2,2
Nuoxizhi,cbslocal.com,0.0,1,1.0,1,65.0,1,2,2,4
Nuoxizhi,youtu.be,0.0,0,1.0,1,49.0,0,2,4,2
Beaverlodge,springer.com,0.0,1,1.0,0,51.0,0,1,5,1
Kuala Terengganu,cbslocal.com,0.0,1,1.0,1,53.0,2,2,1,3
Nuoxizhi,springer.com,0.0,1,1.0,0,49.0,2,1,2,3
Ell,cbslocal.com,1.0,1,1.0,0,49.0,2,2,1,1
Bandung,springer.com,1.0,1,1.0,1,48.0,0,2,2,1
Nuoxizhi,youtu.be,1.0,1,12.0,1,50.0,1,2,4,3
Nuoxizhi,springer.com,1.0,1,2.0,0,49.0,3,6,7,2
Nuoxizhi,youtu.be,0.0,0,1.0,0,49.0,0,1,1,2
Nuoxizhi,youtu.be,1.0,0,1.0,0,52.0,0,2,2,3
Liancheng,youtu.be,0.0,1,1.0,1,48.0,2,1,3,2
Ell,cbslocal.com,0.0,0,1.0,0,49.0,2,3,7,1
Beaverlodge,springer.com,1.0,0,1.0,1,50.0,2,3,2,2
Ell,cbslocal.com,0.0,0,1.0,0,53.0,0,2,1,2
Beaverlodge,exblog.jp,1.0,1,1.0,1,53.0,2,3,1,4
Nuoxizhi,cbslocal.com,1.0,1,1.0,0,51.0,2,2,1,2
Liancheng,cbslocal.com,0.0,0,1.0,0,49.0,0,1,4,1
Bandung,cbslocal.com,1.0,1,1.0,0,48.0,1,3,1,1
Nuoxizhi,cbslocal.com,0.0,1,1.0,1,51.0,0,1,2,3
Bandung,upenn.edu,1.0,0,2.0,0,55.0,1,2,1,1
Beaverlodge,springer.com,1.0,1,1.0,1,54.0,2,4,2,1
Ell,exblog.jp,0.0,0,1.0,0,56.0,0,1,1,2
Liancheng,youtu.be,0.0,1,1.0,1,53.0,1,1,2,3
Nuoxizhi,youtu.be,0.0,0,1.0,0,55.0,2,3,3,2
Bandung,cbslocal.com,1.0,1,1.0,1,51.0,0,1,1,2
Kuala Terengganu,youtu.be,1.0,1,1.0,1,49.0,2,4,1,1
Bandung,youtu.be,0.0,0,1.0,0,50.0,0,1,4,6
Liancheng,youtu.be,1.0,0,1.0,1,53.0,0,6,4,1
Beaverlodge,youtu.be,0.0,1,1.0,0,59.0,1,1,2,3
Kuala Terengganu,exblog.jp,0.0,1,1.0,0,49.0,0,1,1,3
Nuoxizhi,upenn.edu,0.0,0,1.0,1,56.0,2,1,3,4
Bandung,cbslocal.com,1.0,0,14.0,0,48.0,3,1,3,2
Liancheng,youtu.be,1.0,1,1.0,1,50.0,0,3,1,3
Kuala Terengganu,cbslocal.com,1.0,0,7.0,0,53.0,1,1,1,1
Nuoxizhi,youtu.be,1.0,1,5.0,1,54.0,1,2,1,2
Beaverlodge,cbslocal.com,0.0,0,1.0,0,50.0,0,1,1,2
Nuoxizhi,youtu.be,0.0,1,1.0,0,50.0,2,4,1,1
Kuala Terengganu,youtu.be,0.0,0,1.0,0,50.0,0,2,1,3
Bandung,cbslocal.com,0.0,0,1.0,0,50.0,0,1,3,2
Ell,cbslocal.com,0.0,1,1.0,0,50.0,0,1,3,1
Bandung,youtu.be,0.0,0,1.0,0,54.0,1,3,7,3
Beaverlodge,springer.com,1.0,1,1.0,1,49.0,1,6,1,3
Ell,youtu.be,0.0,1,1.0,0,51.0,1,1,5,4
Nuoxizhi,cbslocal.com,1.0,1,1.0,0,51.0,1,4,2,2
Bandung,cbslocal.com,0.0,1,1.0,1,51.0,0,1,1,3
Nuoxizhi,springer.com,0.0,0,1.0,1,58.0,2,1,4,2
Liancheng,cbslocal.com,1.0,1,1.0,1,51.0,0,1,1,2
Bandung,springer.com,1.0,1,1.0,1,58.0,0,4,5,2
Nuoxizhi,cbslocal.com,1.0,0,5.0,1,49.0,0,1,6,4
Liancheng,cbslocal.com,1.0,1,1.0,1,51.0,1,1,1,2
Bandung,youtu.be,0.0,1,1.0,0,48.0,1,1,6,1
Nuoxizhi,youtu.be,0.0,0,1.0,0,54.0,1,1,7,2
Beaverlodge,youtu.be,1.0,0,1.0,0,50.0,1,2,2,3
Kuala Terengganu,cbslocal.com,1.0,0,1.0,1,49.0,0,1,1,1
Nuoxizhi,youtu.be,0.0,0,1.0,1,52.0,3,1,3,1
Nuoxizhi,youtu.be,1.0,0,1.0,1,52.0,2,3,1,1
Nuoxizhi,youtu.be,0.0,0,1.0,0,53.0,2,1,3,1
Liancheng,cbslocal.com,1.0,0,1.0,0,48.0,0,3,7,1
Sandaohezi,youtu.be,1.0,0,1.0,1,54.0,0,4,2,2
Ell,youtu.be,0.0,1,1.0,0,48.0,2,1,1,3
Nuoxizhi,youtu.be,1.0,0,1.0,0,50.0,0,4,2,2
Ell,youtu.be,1.0,0,1.0,0,50.0,2,3,4,4
Beaverlodge,springer.com,0.0,0,1.0,1,52.0,1,2,1,4
Beaverlodge,exblog.jp,0.0,0,1.0,1,50.0,1,1,2,3
Beaverlodge,springer.com,1.0,0,1.0,0,50.0,1,3,4,1
Beaverlodge,cbslocal.com,1.0,1,2.0,0,55.0,1,6,1,1
Nuoxizhi,springer.com,1.0,0,1.0,1,50.0,0,1,1,1
Bandung,springer.com,1.0,1,2.0,0,48.0,2,6,1,1
Nuoxizhi,springer.com,1.0,0,2.0,0,52.0,0,1,4,2
Nuoxizhi,springer.com,1.0,1,4.0,0,53.0,2,1,3,3
Ell,cbslocal.com,0.0,0,1.0,1,52.0,1,1,1,1
Ell,youtu.be,0.0,1,1.0,1,53.0,1,3,5,2
Beaverlodge,cbslocal.com,1.0,1,5.0,1,69.0,2,1,3,2
Liancheng,springer.com,1.0,0,1.0,1,52.0,1,1,1,2
Beaverlodge,cbslocal.com,0.0,0,5.0,0,66.0,0,1,1,1
Beaverlodge,youtu.be,1.0,1,1.0,0,50.0,0,3,2,1
Nuoxizhi,cbslocal.com,0.0,1,1.0,1,50.0,3,6,3,2
Nuoxizhi,exblog.jp,1.0,1,6.0,0,51.0,0,1,1,1
Bandung,cbslocal.com,1.0,1,1.0,0,51.0,0,2,1,1
Beaverlodge,cbslocal.com,0.0,0,1.0,0,50.0,1,1,1,1
Ell,cbslocal.com,1.0,0,3.0,0,63.0,2,3,2,3
Liancheng,youtu.be,1.0,1,1.0,0,51.0,2,1,3,3
Nuoxizhi,youtu.be,0.0,0,1.0,1,53.0,3,1,5,1
Bandung,springer.com,1.0,1,1.0,0,51.0,1,1,1,2
